question,option1,option2,option3,option4,answer,category
"Who directed the movie 'Sholay'?",Ramesh Sippy,Yash Chopra,Raj Kapoor,Guru Dutt,Ramesh Sippy,Bollywood
"Which Indian cricketer is known as 'Captain Cool'?",Virat Kohli,Rohit Sharma,MS Dhoni,Sourav Ganguly,MS Dhoni,Cricket
"In which year was the movie 'Mughal-E-Azam' released?",1958,1960,1962,1965,1960,Bollywood
"Who holds the record for highest individual score in Test cricket?",Brian Lara,Don Bradman,Virender Sehwag,Matthew Hayden,Brian Lara,Cricket
"Which actress played the lead role in 'Mother India'?",Nargis,Meena Kumari,Madhubala,Waheeda Rehman,Nargis,Bollywood
"How many players are there in a cricket team?",10,11,12,13,11,Cricket
"Who composed music for the film 'Guide'?",R.D. Burman,S.D. Burman,Laxmikant-Pyarelal,Shankar-Jaikishan,S.D. Burman,Bollywood
"Which country won the first Cricket World Cup in 1975?",Australia,England,West Indies,India,West Indies,Cricket
"In which movie did Amitabh Bachchan play a double role as father and son?",Don,Sholay,Amar Akbar Anthony,Laawaris,Laawaris,Bollywood
"What is the maximum number of overs in a T20 cricket match?",15,20,25,30,20,Cricket
"Which film won the first National Film Award for Best Feature Film?",Shyamchi Aai,Do Bigha Zamin,Pather Panchali,Neecha Nagar,Shyamchi Aai,Bollywood
"Who was the first Indian cricketer to score a triple century in Test cricket?",Virender Sehwag,Sachin Tendulkar,Sunil Gavaskar,Rahul Dravid,Virender Sehwag,Cricket
"Which actor is known as the 'King of Bollywood'?",Amitabh Bachchan,Shah Rukh Khan,Aamir Khan,Salman Khan,Shah Rukh Khan,Bollywood
"In which year did India win their first Cricket World Cup?",1975,1983,1987,1992,1983,Cricket
"Who directed the movie '3 Idiots'?",Rajkumar Hirani,Aamir Khan,Vidhu Vinod Chopra,Karan Johar,Rajkumar Hirani,Bollywood
"Which bowler has taken the most wickets in Test cricket?",Shane Warne,Muttiah Muralitharan,Anil Kumble,Glenn McGrath,Muttiah Muralitharan,Cricket
"In which movie did Madhuri Dixit dance to 'Ek Do Teen'?",Tezaab,Beta,Hum Aapke Hain Koun,Dil To Pagal Hai,Tezaab,Bollywood
"What is the term for scoring zero runs in cricket?",Duck,Goose,Chicken,Turkey,Duck,Cricket
"Which film marked Hrithik Roshan's debut?",Kaho Naa Pyaar Hai,Mission Kashmir,Koi Mil Gaya,Fiza,Kaho Naa Pyaar Hai,Bollywood
"Who captained India to victory in the 2011 Cricket World Cup?",Virat Kohli,MS Dhoni,Sourav Ganguly,Rahul Dravid,MS Dhoni,Cricket
"Which actress is known as the 'Dream Girl' of Bollywood?",Rekha,Hema Malini,Zeenat Aman,Sharmila Tagore,Hema Malini,Bollywood
"What does LBW stand for in cricket?",Leg Before Wicket,Left Behind Wicket,Last Ball Won,Long Ball Wide,Leg Before Wicket,Cricket
"Who sang the song 'Mere Sapno Ki Rani'?",Kishore Kumar,Mohammad Rafi,Mukesh,Manna Dey,Kishore Kumar,Bollywood
"Which Indian cricketer is nicknamed 'The Wall'?",VVS Laxman,Rahul Dravid,Anil Kumble,Sourav Ganguly,Rahul Dravid,Cricket
"In which movie did Rajesh Khanna say 'Pushpa, I hate tears'?",Amar Prem,Anand,Kati Patang,Daag,Amar Prem,Bollywood
"How many stumps are there in cricket?",2,3,4,5,3,Cricket
"Which film is considered Guru Dutt's masterpiece?",Pyaasa,Kaagaz Ke Phool,Sahib Bibi Aur Ghulam,Chaudhvin Ka Chand,Pyaasa,Bollywood
"Who was the first batsman to score 10000 runs in Test cricket?",Sunil Gavaskar,Allan Border,Steve Waugh,Sachin Tendulkar,Sunil Gavaskar,Cricket
"Which movie featured the song 'Kabhi Kabhie Mere Dil Mein'?",Kabhi Kabhie,Silsila,Trishul,Kala Patthar,Kabhi Kabhie,Bollywood
"What is the diameter of a cricket ball?",2.8-2.86 inches,3.1-3.2 inches,2.2-2.3 inches,3.5-3.6 inches,2.8-2.86 inches,Cricket
"Who directed the movie 'Lagaan'?",Ashutosh Gowariker,Aamir Khan,Ketan Mehta,Shyam Benegal,Ashutosh Gowariker,Bollywood
"Which cricketer is known as 'Hitman'?",Virat Kohli,Rohit Sharma,Shikhar Dhawan,KL Rahul,Rohit Sharma,Cricket
